board	branch	exposure	status	fdt_bytes	fit_created	streamed_compressed_bytes	sha256	image	alias
nanopi-zero2	current	affected-itb-target	CLEAN	7992	Thu Jul 16 19:45:12 2026	13107200	ed91b7c314a9c5d72858c4b240f71287246fe679007b015194fb1cb30fb8ecf1	Armbian_community_26.8.0-trunk.413_Nanopi-zero2_trixie_current_6.18.38_minimal.img.xz	nanopi-zero2/Trixie_current_minimal
nanopi-zero2	vendor	affected-itb-target	CLEAN	7992	Fri Jul 17 00:18:30 2026	12795904	d678451816753b20d4e20d6cc0f39af5dd24fb37bfaa919acbf2e33506e65604	Armbian_community_26.8.0-trunk.413_Nanopi-zero2_trixie_vendor_6.1.115_minimal.img.xz	nanopi-zero2/Trixie_vendor_minimal
orangepi5b	edge	affected-itb-target	CLEAN	14927	Thu Jul 16 19:45:23 2026	12845056	a88e984a59157a132c1a80d07001d43f81b89437b9e2ae8a28a2385d57244ff0	Armbian_community_26.8.0-trunk.413_Orangepi5b_resolute_edge_7.1.3_gnome_desktop.img.xz	orangepi5b/Resolute_edge_gnome
orangepi5b	edge	affected-itb-target	CLEAN	14927	Thu Jul 16 19:45:23 2026	12958210	362efc578b0891fbbb5a2169453a9cbc0fee20e3c8056ea998b21785a4192c25	Armbian_community_26.8.0-trunk.413_Orangepi5b_resolute_edge_7.1.3_kde-plasma_desktop.img.xz	orangepi5b/Resolute_edge_kde-plasma
orangepi5b	vendor	affected-itb-target	CLEAN	14927	Thu Jul 16 19:44:27 2026	12926581	71cd5939661e8d9c376a90f8a5d46575438c0c5aea474cd2775f3179eb1a885b	Armbian_community_26.8.0-trunk.413_Orangepi5b_resolute_vendor_6.1.115_gnome_desktop.img.xz	orangepi5b/Resolute_vendor_gnome
orangepi5b	vendor	affected-itb-target	CLEAN	14927	Thu Jul 16 19:44:27 2026	13025280	9b2ee2e3ccc975d607c300e0065f9f4c5b6c4839d8ed433faa5536c14d3e2b08	Armbian_community_26.8.0-trunk.413_Orangepi5b_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	orangepi5b/Resolute_vendor_kde-plasma
orangepi5b	edge	affected-itb-target	CLEAN	14927	Thu Jul 16 19:45:23 2026	12923856	ac0bf1b5b45e5ed8c678d4893288c9b41edcb9d9090ff508d3015dcb2e3dda55	Armbian_community_26.8.0-trunk.413_Orangepi5b_trixie_edge_7.1.3_minimal.img.xz	orangepi5b/Trixie_edge_minimal
orangepi5b	vendor	affected-itb-target	CLEAN	14927	Thu Jul 16 19:44:27 2026	13089219	a7892fffb07bebd1c8d134deeef1f040baf395efd548a93df14ba51deeaeddc9	Armbian_community_26.8.0-trunk.413_Orangepi5b_trixie_vendor_6.1.115_minimal.img.xz	orangepi5b/Trixie_vendor_minimal
orangepi5-max	vendor	affected-itb-target	CLEAN	19157	Thu Jul 16 19:45:13 2026	12759878	1729c3f9b7b05df7f66056fce428a2765c7aca32b5b90bee9f0c76c158b03cb7	Armbian_community_26.8.0-trunk.413_Orangepi5-max_resolute_vendor_6.1.115_gnome_desktop.img.xz	orangepi5-max/Resolute_vendor_gnome
orangepi5-max	vendor	affected-itb-target	CLEAN	19157	Thu Jul 16 19:45:13 2026	12812288	4022cd77f23f971fcf7fe5cae973abf7486eea4b6b0e954767fae3b00d99d5e6	Armbian_community_26.8.0-trunk.413_Orangepi5-max_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	orangepi5-max/Resolute_vendor_kde-plasma
orangepi5-max	vendor	affected-itb-target	CLEAN	19157	Thu Jul 16 19:45:13 2026	12857546	2f7e897ff64fd859018818a619dedaa7b4c0045f099fc0a50f0cdee5cf867a3a	Armbian_community_26.8.0-trunk.413_Orangepi5-max_trixie_vendor_6.1.115_minimal.img.xz	orangepi5-max/Trixie_vendor_minimal
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Sun Jul 12 23:59:28 2026	12795149	be98135302de73b9559bb5a9bce530021e7f91c279965fbc90a9ee0840fad2f9	Armbian_26.8.0-trunk.400_Orangepi5-plus_forky_vendor_6.1.115_minimal.img.xz	nightly/orangepi5-plus/Forky_vendor_minimal
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Sun Jul 12 23:59:28 2026	13007288	a1f710e663b3cbfa77c54fc9201963e175bf917bcf983663a8eb1e5e8f6f383a	Armbian_26.8.0-trunk.400_Orangepi5-plus_resolute_vendor_6.1.115_gnome_desktop.img.xz	nightly/orangepi5-plus/Resolute_vendor_gnome
