board	branch	image_links	boot_source	boot_branch	boot_patch_dir	target_kind	scope
orangepi5b	edge	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5b	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5	current	4	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
orangepi5-max	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5-plus	current	4	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
orangepi5-plus	vendor	10	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5pro	current	3	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
orangepi5pro	vendor	3	https://github.com/orangepi-xunlong/u-boot-orangepi.git	branch:v2017.09-rk3588	legacy	sibling-u-boot.itb	other-u-boot-source
orangepi5-ultra	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5-ultra	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
orangepi5	vendor	10	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
photonicat2	current	3	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
retro-lite-cm5	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
rk3566-box-demo	current	3	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
station-m2	current	3	https://github.com/radxa/u-boot.git	branch:rk35xx-2024.01	u-boot-radxa-latest	u-boot-rockchip.bin	radxa-alternate-target
station-m3	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
turing-rk1	current	3	https://github.com/u-boot/u-boot.git	tag:v2024.04	v2024.04	u-boot-rockchip.bin	other-u-boot-source
turing-rk1	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2024.04	v2024.04	u-boot-rockchip.bin	other-u-boot-source
youyeetoo-r1-v3	edge	3	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
youyeetoo-r1-v3	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
youyeetoo-yy3588	vendor	2	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
yy3568	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
